Isotope,BEN,Nucleons
H-1,0,1
H-2,1.112,2
H-3,2.827,3
He-3,2.573,3
He-4,7.074,4
Li-6,5.332,6
Li-7,5.606,7
Be-9,6.463,9
B-10,6.475,10
B-11,6.928,11
C-12,7.68,12
C-13,7.47,13
N-14,7.476,14
O-16,7.976,16
F-19,7.779,19
Ne-20,8.032,20
Na-23,8.111,23
Mg-24,8.261,24
Al-27,8.332,27
Si-28,8.448,28
P-31,8.481,31
S-32,8.493,32
Cl-35,8.52,35
Cl-37,8.57,37
K-39,8.557,39
Ar-40,8.595,40
Ca-40,8.551,40
Sc-45,8.619,45
Ti-48,8.723,48
V-51,8.742,51
Cr-52,8.776,52
Mn-55,8.765,55
Fe-56,8.79,56
Ni-58,8.732,58
Co-59,8.768,59
Ni-60,8.781,60
Cu-63,8.752,63
Zn-64,8.736,64
Cu-65,8.757,65
Zn-66,8.76,66
Zn-68,8.756,68
Ga-68,8.701,68
Ge-70,8.722,70
Ga-71,8.718,71
Ge-72,8.732,72
Ge-74,8.725,74
As-75,8.701,75
Se-78,8.718,78
Br-79,8.688,79
Se-80,8.711,80
Br-81,8.696,81
Kr-84,8.717,84
Rb-85,8.697,85
Kr-86,8.712,86
Rb-87,8.711,87
Sr-88,8.733,88
Zr-90,8.71,90
Nb-93,8.664,93
Zr-94,8.667,94
Mo-95,8.649,95
Mo-96,8.654,96
Mo-98,8.635,98
Tc-98,8.61,98
Ru-102,8.607,102
Rh-103,8.584,103
Pd-105,8.571,105
Pd-106,8.58,106
Ag-107,8.554,107
Pd-108,8.567,108
Ag-109,8.548,109
Cd-112,8.545,112
Cd-114,8.532,114
In-115,8.517,115
Sn-118,8.517,118
Sn-120,8.505,120
Sb-121,8.482,121
Sb-123,8.472,123
I-127,8.445,127
Te-128,8.449,128
Xe-129,8.431,129
Te-130,8.43,130
Xe-131,8.424,131
Xe-132,8.428,132
Cs-133,8.41,133
Ba-138,8.393,138
La-139,8.378,139
Ce-140,8.376,140
Pr-141,8.354,141
Nd-142,8.346,142
Nd-144,8.327,144
Pm-145,8.303,145
Eu-151,8.239,151
Sm-152,8.244,152
Eu-153,8.229,153
Sm-154,8.227,154
Gd-156,8.215,156
Gd-158,8.202,158
Tb-159,8.189,159
Gd-160,8.183,160
Dy-162,8.173,162
Dy-163,8.162,163
Dy-164,8.159,164
Ho-165,8.147,165
Er-166,8.142,166
Er-167,8.132,167
Er-168,8.13,168
Tm-169,8.115,169
Yb-172,8.097,172
Lu-175,8.069,175
Hf-178,8.049,178
Hf-180,8.035,180
Ta-181,8.023,181
W-182,8.018,182
W-184,8.005,184
Re-185,7.991,185
W-186,7.989,186
Re-187,7.978,187
Os-190,7.962,190
Ir-191,7.948,191
Ir-191,7.948,191
Os-192,7.949,192
Ir-193,7.938,193
Ir-193,7.938,193
Pt-194,7.936,194
Pt-195,7.927,195
Pt-196,7.927,196
Au-197,7.916,197
Hg-200,7.906,200
Hg-202,7.897,202
Tl-203,7.886,203
Tl-205,7.878,205
Pb-206,7.875,206
Pb-208,7.867,208
Bi-209,7.848,209
Po-209,7.835,209
At-210,7.812,210
Rn-222,7.694,222
Fr-223,7.684,223
Ra-226,7.662,226
Ac-227,7.651,227
Pa-231,7.618,231
Th-232,7.615,232
U-235,7.591,235
U-238,7.57,238
